debug on
processing norms
0.0 19 12
594141.6306846013 19 13
0.0 19 14
174756.11932136383 19 15
0.0 19 16
35717.04900412439 19 17
0.0 19 18
3892.9145437500483 19 19
0.0 19 20
0.0 19 21
0.0 19 22
0.0 19 23
0.0 19 24
0.0 19 25
0.0 19 26
0.0 19 27
0.0 19 28
0.0 19 29
0.0 19 30
0.0 19 31
0.0 19 32
43832137.89237692 20 0
0.0 20 1
2040156.9009545483 20 2
0.0 20 3
33680482.92163629 20 4
0.0 20 5
3630289.552856413 20 6
0.0 20 7
14904433.034072693 20 8
0.0 20 9
2020259.8694012947 20 10
0.0 20 11
3473870.5639887336 20 12
0.0 20 13
462649.7109198659 20 14
0.0 20 15
340375.5365611216 20 16
0.0 20 17
32604.911444430487 20 18
0.0 20 19
6440.165483921696 20 20
0.0 20 21
0.0 20 22
0.0 20 23
0.0 20 24
0.0 20 25
0.0 20 26
0.0 20 27
0.0 20 28
0.0 20 29
0.0 20 30
0.0 20 31
0.0 20 32
0.0 21 0
69353932.78395753 21 1
0.0 21 2
61307491.753865615 21 3
0.0 21 4
47784788.14902687 21 5
0.0 21 6
32662967.674577795 21 7
0.0 21 8
19406339.428187173 21 9
0.0 21 10
9885882.543739852 21 11
0.0 21 12
4229051.149827617 21 13
0.0 21 14
1470578.5044515813 21 15
0.0 21 16
393553.6410394859 21 17
0.0 21 18
72975.038449818 21 19
0.0 21 20
7164.19509422329 21 21
0.0 21 22
0.0 21 23
0.0 21 24
0.0 21 25
0.0 21 26
0.0 21 27
0.0 21 28
0.0 21 29
0.0 21 30
0.0 21 31
0.0 21 32
227031470.62145698 22 0
0.0 22 1
9644484.243066419 22 2
0.0 22 3
178398847.81354347 22 4
0.0 22 5
17939515.047622006 22 6
0.0 22 7
84943091.35471101 22 8
0.0 22 9
11053031.956882693 22 10
0.0 22 11
22957168.47664759 22 12
0.0 22 13
3091001.8135473807 22 14
0.0 22 15
3028550.013049174 22 16
0.0 22 17
340037.4266940794 22 18
0.0 22 19
131266.35694566643 22 20
0.0 22 21
6943.828190943239 22 22
0.0 22 23
0.0 22 24
0.0 22 25
0.0 22 26
0.0 22 27
0.0 22 28
0.0 22 29
0.0 22 30
0.0 22 31
0.0 22 32
0.0 23 0
361832456.65881026 23 1
0.0 23 2
323004475.3531295 23 3
0.0 23 4
256894022.4157558 23 5
0.0 23 6
181279882.8423259 23 7
0.0 23 8
112740964.79189493 23 9
0.0 23 10
61176898.04991035 23 11
0.0 23 12
28541335.359661054 23 13
0.0 23 14
11201270.93503175 23 15
0.0 23 16
3575594.6283354172 23 17
0.0 23 18
877791.1376797474 23 19
0.0 23 20
148926.3287623779 23 21
0.0 23 22
13299.87560802405 23 23
0.0 23 24
0.0 23 25
0.0 23 26
0.0 23 27
0.0 23 28
0.0 23 29
0.0 23 30
0.0 23 31
0.0 23 32
1189564772.132151 24 0
0.0 24 1
46456885.17288213 24 2
0.0 24 3
952556146.9632794 24 4
0.0 24 5
89702379.38843265 24 6
0.0 24 7
482010399.23033476 24 8
0.0 24 9
60094599.551926054 24 10
0.0 24 11
146697724.26672974 24 12
0.0 24 13
19638156.64037094 24 14
0.0 24 15
24119896.123975083 24 16
0.0 24 17
2927096.2562476066 24 18
0.0 24 19
1680925.3970673128 24 20
0.0 24 21
137941.45573613903 24 22
0.0 24 23
22219.294061940374 24 24
0.0 24 25
0.0 24 26
0.0 24 27
0.0 24 28
0.0 24 29
0.0 24 30
0.0 24 31
0.0 24 32
0.0 25 0
1907457919.6188712 25 1
0.0 25 2
1717075798.609852 25 3
0.0 25 4
1389258331.1583545 25 5
0.0 25 6
1007002575.2886094 25 7
0.0 25 8
650546871.1678258 25 9
0.0 25 10
371719242.1448516 25 11
0.0 25 12
185830378.92799994 25 13
0.0 25 14
80029128.80768503 25 15
0.0 25 16
29025901.176282227 25 17
0.0 25 18
8565003.505642863 25 19
0.0 25 20
1942137.9853593227 25 21
0.0 25 22
303648.6123077767 25 23
0.0 25 24
24870.329569721445 25 25
0.0 25 26
0.0 25 27
0.0 25 28
0.0 25 29
0.0 25 30
0.0 25 31
0.0 25 32
6293714022.209988 26 0
0.0 26 1
227347430.32141793 26 2
0.0 26 3
5121709194.399904 26 4
0.0 26 5
453212878.9306742 26 6
0.0 26 7
2728483635.0146003 26 8
0.0 26 9
325715249.13131094 26 10
0.0 26 11
915712591.2478887 26 12
0.0 26 13
120705027.5164126 26 14
0.0 26 15
178774616.51348734 26 16
0.0 26 17
22549015.132962838 26 18
0.0 26 19
17237290.980440974 26 20
0.0 26 21
1717851.3712158646 26 22
0.0 26 23
543928.2831200853 26 24
0.0 26 25
24176.90736555855 26 26
0.0 26 27
0.0 26 28
0.0 26 29
0.0 26 30
0.0 26 31
0.0 26 32
0.0 27 0
10144488400.011137 27 1
0.0 27 2
9198157751.744898 27 3
0.0 27 4
7552664982.961842 27 5
0.0 27 6
5601533951.538164 27 7
0.0 27 8
3737144122.3891 27 9
0.0 27 10
2229556770.0353727 27 11
0.0 27 12
1179608181.111455 27 13
0.0 27 14
547142473.9253434 27 15
0.0 27 16
218928527.10370162 27 17
0.0 27 18
73831279.73831363 27 19
0.0 27 20
20258122.77925441 27 21
0.0 27 22
4267774.802171105 27 23
0.0 27 24
618656.4286867895 27 25
0.0 27 26
46793.130228360715 27 27
0.0 27 28
0.0 27 29
0.0 27 30
0.0 27 31
0.0 27 32
33575541451.12776 28 0
0.0 28 1
1127693392.910133 28 2
0.0 28 3
27706879211.783928 28 4
0.0 28 5
2310903883.0553064 28 6
0.0 28 7
15425604189.392345 28 8
0.0 28 9
1763261553.251995 28 10
0.0 28 11
5620336062.843411 28 12
0.0 28 13
725190868.7429339 28 14
0.0 28 15
1260629002.0698457 28 16
0.0 28 17
161680154.7245083 28 18
0.0 28 19
154784161.66902864 28 20
0.0 28 21
17118524.467448886 28 22
0.0 28 23
8074384.976053438 28 24
0.0 28 25
578298.9068887176 28 26
0.0 28 27
78740.93549825366 28 28
0.0 28 29
0.0 28 30
0.0 28 31
0.0 28 32
0.0 29 0
54361618463.103424 29 1
0.0 29 2
49601784437.52866 29 3
0.0 29 4
41253951810.76319 29 5
0.0 29 6
31209564067.234226 29 7
0.0 29 8
21405729731.101418 29 9
0.0 29 10
13247662663.028812 29 11
0.0 29 12
7350074134.857406 29 13
0.0 29 14
3623743781.307725 29 15
0.0 29 16
1568642468.3492486 29 17
0.0 29 18
586368662.1467034 29 19
0.0 29 20
184826915.93742225 29 21
0.0 29 22
47394931.92085159 29 23
0.0 29 24
9323399.652135516 29 25
0.0 29 26
1259686.2655591066 29 27
0.0 29 28
88504.70928508269 29 29
0.0 29 30
0.0 29 31
0.0 29 32
180402228706.72827 30 0
0.0 30 1
5659117562.744219 30 2
0.0 30 3
150693710454.88406 30 4
0.0 30 5
11879506057.963242 30 6
0.0 30 7
87167402244.23152 30 8
0.0 30 9
9545139429.734983 30 10
0.0 30 11
34067207392.76621 30 12
0.0 30 13
4286897764.31942 30 14
0.0 30 15
8573201163.135796 30 16
0.0 30 17
1103198426.7185836 30 18
0.0 30 19
1272318620.2254572 30 20
0.0 30 21
149339730.99789944 30 22
0.0 30 23
93769162.59171988 30 24
0.0 30 25
8374415.439932786 30 26
0.0 30 27
2250320.183422076 30 28
0.0 30 29
86148.22403887083 30 30
0.0 30 31
0.0 30 32
0.0 31 0
293228653656.9638 31 1
0.0 31 2
269039493211.0235 31 3
0.0 31 4
226292823248.7375 31 5
0.0 31 6
174189764142.91156 31 7
0.0 31 8
122376969387.74023 31 9
0.0 31 10
78169786474.22253 31 11
0.0 31 12
45162926452.30399 31 13
0.0 31 14
23437838891.731426 31 15
0.0 31 16
10825247784.069931 31 17
0.0 31 18
4394973955.797207 31 19
0.0 31 20
1541965029.5268157 31 21
0.0 31 22
456318766.59140545 31 23
0.0 31 24
109835659.52227503 31 25
0.0 31 26
20264436.45269161 31 27
0.0 31 28
2563612.8591149733 31 29
0.0 31 30
168161.99804127036 31 31
0.0 31 32
975355938852.8237 32 0
0.0 32 1
28688697897.207245 32 2
0.0 32 3
823520632054.5787 32 4
0.0 32 5
61513809766.277725 32 6
0.0 32 7
492579196498.1681 32 8
0.0 32 9
51707428025.97096 32 10
0.0 32 11
204553628624.4116 32 12
0.0 32 13
25044495295.363407 32 14
0.0 32 15
56739065404.61369 32 16
0.0 32 17
7262378259.671421 32 18
0.0 32 19
9821637582.284399 32 20
0.0 32 21
1192596450.9742217 32 22
0.0 32 23
937381414.7122855 32 24
0.0 32 25
94807717.07631223 32 26
0.0 32 27
37998918.21142523 32 28
0.0 32 29
2410245.0093876906 32 30
0.0 32 31
284580.83089895896 32 32
processing Zernike layer
processing norms
128.0 0 0
0.0 0 1
